"id","issint","threat.MMR","threat.PHL","imp.MMR","imp.PHL","odaimp","potential.MMR","potential.PHL","threat.CHN","threat.CHN.3cat","treatment","treat_China","treat_MMR","treat_PHL","med_econ","med_secu","med_repu","med_effi","cancel_aid","cancel_aid_3cat","cancel_aid_2cat","fem","age","right","ide3","comply"
4,"2","1","1","1","1",1,"1","1",0,"0",5,0,0,1,"3","3","4","3","5","2",1,0,24,1,"2",1
5,"0","0","0","2","2",0,"2","2",1,"2",1,0,1,0,"4","3","3","3","3","1",0,0,24,NA,NA,1
6,"2","0","0","2","2",1,"1","1",1,"2",1,0,1,0,NA,NA,"5",NA,NA,NA,NA,0,28,NA,NA,1
10,"2","2","1","2","1",1,"1","2",0,"0",3,1,0,1,"4","4","4","2","2","1",0,0,24,1,"2",1
14,"2","2","2","2","2",1,"2","2",1,"1",3,1,0,1,"4","3","3","2","8","3",1,0,28,1,"2",6
15,"2","0","0","2","2",1,"2","2",1,"2",2,1,1,0,"4","4","3","2","6","2",1,0,20,1,"2",1
16,"1","2","2","1","2",1,"1","1",0,"0",5,0,0,1,"4","4","4","2","5","2",1,0,31,0,"1",2
17,"0","1","1","1","1",1,"1","1",0,"0",3,1,0,1,"3","3","3","3","4","2",1,0,28,0,"1",1
18,"2","0","0","2","2",1,"2","2",0,"0",1,0,1,0,"3","3","3","3","5","2",1,1,60,0,"0",1
20,"0","1","0","2","2",1,"1","1",0,"0",5,0,0,1,"3","3","3","3","5","2",1,0,25,0,"0",1
23,"1","0","0","0","2",1,"0","2",1,"2",2,1,1,0,"4","2","3","4","5","2",1,0,33,0,"1",1
26,"1","1","1","2","2",1,"1","2",1,"1",3,1,0,1,"3","3","4","3","4","2",1,0,26,0,"0",1
27,"2","0","0","1","1",1,"1","1",1,"2",1,0,1,0,"5","5","5","1","1","1",0,0,28,0,"1",1
28,"0","0","0","2","2",1,"2","2",0,"0",5,0,0,1,"5","3","4","2","8","3",1,1,24,0,"0",6
29,"1","0","0","0","1",1,"2","2",1,"1",3,1,0,1,"4","3","4","3","5","2",1,0,29,0,"1",2
31,"0","1","1","2","2",1,"1","1",1,"1",1,0,1,0,"4","4","4","3","4","2",1,0,25,1,"2",1
